名称,年代,类型,图片,详情
清乾隆青花广彩徽章纹瓣口碟,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100453472.jpg,https://www.gdmuseum.com/cn/col49/148826
清乾隆广彩徽章纹瓣口盘,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100404826.jpg,https://www.gdmuseum.com/cn/col49/148825
清乾隆广彩通景航海西洋人物图盖执壶,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100377218.jpg,https://www.gdmuseum.com/cn/col49/148824
十九世纪广彩徽章镂空椭圆形果盘,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100346792.jpg,https://www.gdmuseum.com/cn/col49/148823
清广彩珍珠地徽章纹马克杯,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100312144.jpg,https://www.gdmuseum.com/cn/col49/148822
清乾隆广彩描金“帕里斯的审判”图瓷盘,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100274795.jpg,https://www.gdmuseum.com/cn/col49/148821
清乾隆广彩开光人物纹大碗,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100238243.jpg,https://www.gdmuseum.com/cn/col49/148820
清乾隆广彩徽章纹花口盘,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700100206742.jpg,https://www.gdmuseum.com/cn/col49/148819
清乾隆广彩徽章纹八角形盘,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700103885044.jpg,https://www.gdmuseum.com/cn/col49/148818
清乾隆广彩人物故事图六棱烛台,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700103915484.jpg,https://www.gdmuseum.com/cn/col49/148817
清乾隆广彩人物故事图带盖奖杯,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700103947972.jpg,https://www.gdmuseum.com/cn/col49/148816
清豆绿色福寿绵长罗,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700103994614.jpg,https://www.gdmuseum.com/cn/col49/148815
清广绣八仙祝寿十一条屏风,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700104030278.jpg,https://www.gdmuseum.com/cn/col49/148814
清美国驻香港领事詹姆森·富勒广绣挂屏,1906-1910年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700104065942.jpg,https://www.gdmuseum.com/cn/col49/148813
清广绣黑地花鸟四屏,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700104112288.jpg,https://www.gdmuseum.com/cn/col49/148812
清丝绣“金山古寺、白云晚望”山水画轴,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700104140770.jpg,https://www.gdmuseum.com/cn/col49/148811
香港先施公司保险单、息折,1948年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700104180425.jpg,https://www.gdmuseum.com/cn/col49/148810
1843英国报刊有关广州的描述等,晚清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700104862591.jpg,https://www.gdmuseum.com/cn/col49/148808
银锭（壳银）,明,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105039128.jpg,https://www.gdmuseum.com/cn/col49/148806
小银锭（壳银）,明,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105071770.jpg,https://www.gdmuseum.com/cn/col49/148805
民国广绣红绸花鸟纹屏风,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105194419.jpg,https://www.gdmuseum.com/cn/col49/148803
清米白底广绣花鸟纹床眉,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105229160.jpg,https://www.gdmuseum.com/cn/col49/148802
十九世纪刺绣纹章摆件,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105261319.jpg,https://www.gdmuseum.com/cn/col49/148801
二十世纪初黑绸地双面广绣庭人物披肩,19世纪末20世纪初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105294328.jpg,https://www.gdmuseum.com/cn/col49/148800
二十世纪初黑绸地广绣亭台人物纹长上衣,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105378300.jpg,https://www.gdmuseum.com/cn/col49/148799
二十世纪初黑绸地广绣花鸟纹短上衣,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105429707.jpg,https://www.gdmuseum.com/cn/col49/148798
十九世纪米色地“宝生昌”款广绣花鸟纹窗帘,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105458830.jpg,https://www.gdmuseum.com/cn/col49/148797
米色绸地广绣荷塘鸳鸯纹台布,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700105573493.jpg,https://www.gdmuseum.com/cn/col49/148796
十九世纪米色绸地广绣雉鸡花卉图床罩,20世纪初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116185779.jpg,https://www.gdmuseum.com/cn/col49/148795
二十世纪褐色绸地彩线广绣百花图方披肩,19世纪末20世纪初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116230691.jpg,https://www.gdmuseum.com/cn/col49/148794
二十世纪黑色绸地广绣丁洋花卉纹方披肩,19世纪末20世纪初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116275877.jpg,https://www.gdmuseum.com/cn/col49/148793
清米色绸地广绣排金花卉百鸟图床罩,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116313791.jpg,https://www.gdmuseum.com/cn/col49/148792
十九世纪杏黄色绸地广绣缠枝花卉纹床罩,18世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116348689.jpg,https://www.gdmuseum.com/cn/col49/148791
清月白色绸地广绣花蝶雉鸡图窗帘,20世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116379858.jpg,https://www.gdmuseum.com/cn/col49/148790
清杏色绸地广绣花鸟、蝶、昆虫纹床罩,18世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116410796.jpg,https://www.gdmuseum.com/cn/col49/148789
民国黑绸地广绣鸟、蝶菊花纹披肩,19世纪末20世纪初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116443587.jpg,https://www.gdmuseum.com/cn/col49/148788
民国粉红绸地双面广绣菊花纹披肩,19世纪五六十年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116476265.jpg,https://www.gdmuseum.com/cn/col49/148787
清白绸地纯色线广绣花卉纹披肩,19世纪三四十年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700116509695.jpg,https://www.gdmuseum.com/cn/col49/148786
清米白色绸地广绣抽纱花卉纹披肩,19世纪五六十年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700117564075.jpg,https://www.gdmuseum.com/cn/col49/148785
清米白色绸地双面广绣蓝线牡丹纹披肩,19世纪五六十年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700117604807.jpg,https://www.gdmuseum.com/cn/col49/148784
清蓝绸地广绣花鸟纹披肩,19世纪五六十年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700117638661.jpg,https://www.gdmuseum.com/cn/col49/148783
十九世纪中期石青缎地“宝生昌”号广绣花鸟纹大挂帐,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700117671390.jpg,https://www.gdmuseum.com/cn/col49/148782
清广绣孔雀纹圆形座屏,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700117714759.jpg,https://www.gdmuseum.com/cn/col49/148781
清真丝绣花基督教牧师帽,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118004276.jpg,https://www.gdmuseum.com/cn/col49/148780
清绿色绣花蝶纹满族女服,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700117777287.jpg,https://www.gdmuseum.com/cn/col49/148779
清红色缎绣花蝶、蓝雀纹命妇服,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118050118.jpg,https://www.gdmuseum.com/cn/col49/148778
清蓝地绣花蝶纹满族女服,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118090093.jpg,https://www.gdmuseum.com/cn/col49/148777
1880年绒面绒线广绣寿星挂件,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118128925.jpg,https://www.gdmuseum.com/cn/col49/148776
清丝绸手绘花鸟壁纸,清,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118207589.jpg,https://www.gdmuseum.com/cn/col49/148775
法国画家手绘广州城地图,1857年12月28日,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118248449.jpg,https://www.gdmuseum.com/cn/col49/148774
十九世纪新呱绘十三行,约1840年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118308863.jpg,https://www.gdmuseum.com/cn/col49/148773
中国画家作广州城北门风光,约1860年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118348507.jpg,https://www.gdmuseum.com/cn/col49/148772
广州河南货舱,约1850年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118387111.jpg,https://www.gdmuseum.com/cn/col49/148771
正在刺绣的妇女,约1860年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118427018.jpg,https://www.gdmuseum.com/cn/col49/148770
重呱画英国船,约1855年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118463134.jpg,https://www.gdmuseum.com/cn/col49/148769
十三行风光,约1770年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118499445.jpg,https://www.gdmuseum.com/cn/col49/148768
通草画纺织图,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118531449.jpg,https://www.gdmuseum.com/cn/col49/148767
清光绪石湾窑“佐朝作”款蓝釉老人读书像,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118775881.jpg,https://www.gdmuseum.com/cn/col49/148766
民国石湾窑伏狮罗汉,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118820249.jpg,https://www.gdmuseum.com/cn/col49/148765
民国石湾窑贵妃醉酒像,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118869572.jpg,https://www.gdmuseum.com/cn/col49/148764
现代石湾窑变釉念珠罗汉,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118906636.jpg,https://www.gdmuseum.com/cn/col49/148763
现代石湾开片釉读书人像,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118938753.jpg,https://www.gdmuseum.com/cn/col49/148762
现代石湾开片釉刘龄醉酒像,20世纪40年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700118984162.jpg,https://www.gdmuseum.com/cn/col49/148761
近代石湾窑素胎罗汉立像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119037558.jpg,https://www.gdmuseum.com/cn/col49/148760
清石湾窑古珍彩绘百福迎祥挂壁,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119070744.jpg,https://www.gdmuseum.com/cn/col49/148759
现代石湾木鱼罗汉像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119129261.jpg,https://www.gdmuseum.com/cn/col49/148758
清石湾窑石榴红釉钟馗像,1977年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119165045.jpg,https://www.gdmuseum.com/cn/col49/148757
清石湾窑钧红釉达摩像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119411377.jpg,https://www.gdmuseum.com/cn/col49/148756
明石湾翠毛釉贯耳壶,明末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119457471.jpg,https://www.gdmuseum.com/cn/col49/148755
清石湾窑金丝猫,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119495959.jpg,https://www.gdmuseum.com/cn/col49/148754
清石湾白釉挂瓶,清代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119533059.jpg,https://www.gdmuseum.com/cn/col49/148753
清道光石湾窑划梅观音瓶,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119567211.jpg,https://www.gdmuseum.com/cn/col49/148752
清石湾窑醉酒依缸像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119602097.jpg,https://www.gdmuseum.com/cn/col49/148751
清石湾窑炉旁读书坐像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119640093.jpg,https://www.gdmuseum.com/cn/col49/148750
清石湾雄猴子,清末民初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700119677235.jpg,https://www.gdmuseum.com/cn/col49/148749
清石湾太白醉酒倚缸像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700121302286.jpg,https://www.gdmuseum.com/cn/col49/148748
清石湾黄釉霍津罗汉,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700121359063.jpg,https://www.gdmuseum.com/cn/col49/148747
清石湾魁星像,清末民初,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700121433601.jpg,https://www.gdmuseum.com/cn/col49/148746
清石湾达摩像,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122368849.jpg,https://www.gdmuseum.com/cn/col49/148745
清石湾黄古珍竹节缸,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122399912.jpg,https://www.gdmuseum.com/cn/col49/148744
清石湾瘦骨仙,20世纪40年代,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122439065.jpg,https://www.gdmuseum.com/cn/col49/148743
清末石湾窑仿哥釉米芾拜石像,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122473139.jpg,https://www.gdmuseum.com/cn/col49/148742
清石湾梅花鹿,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122542036.jpg,https://www.gdmuseum.com/cn/col49/148741
清石湾老人像,1935年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122597313.jpg,https://www.gdmuseum.com/cn/col49/148740
民国石湾刘传塑罗汉像,1935年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122655182.jpg,https://www.gdmuseum.com/cn/col49/148739
清石湾窑月白釉“粤彩正记”款挂壁,明末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122714918.jpg,https://www.gdmuseum.com/cn/col49/148738
民国石湾刘传红釉关羽像,1930年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122757502.jpg,https://www.gdmuseum.com/cn/col49/148737
清石湾石榴红佛像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700122815139.jpg,https://www.gdmuseum.com/cn/col49/148736
民国石湾窑潘玉书塑老人像,清末,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123018370.jpg,https://www.gdmuseum.com/cn/col49/148735
清石湾达摩像,1935年,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123072042.jpg,https://www.gdmuseum.com/cn/col49/148734
清石湾寿星像,民国,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123131127.jpg,https://www.gdmuseum.com/cn/col49/148733
清同治广彩开窗人物纹盖盅,清同治,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123179151.jpg,https://www.gdmuseum.com/cn/col49/148732
清乾隆广彩人物纹双兽耳长方形盖盆,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123219234.jpg,https://www.gdmuseum.com/cn/col49/148731
19世纪广彩贝型花卉纹碟,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123255556.jpg,https://www.gdmuseum.com/cn/col49/148730
清广彩珍珠地徽章纹马克杯,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123410814.jpg,https://www.gdmuseum.com/cn/col49/148729
清光绪广彩人物折腰盘,清光绪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123455791.jpg,https://www.gdmuseum.com/cn/col49/148728
清同治广彩锦地开光人物纹瓣口瓶,清同治,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123497460.jpg,https://www.gdmuseum.com/cn/col49/148727
清同治广彩瓣口开窗人物大瓶,清同治,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123545251.jpg,https://www.gdmuseum.com/cn/col49/148726
清道光广彩龙花蝶纹双象耳瓶,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123610083.jpg,https://www.gdmuseum.com/cn/col49/148725
清广彩花鸟瓶,清嘉庆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123645394.jpg,https://www.gdmuseum.com/cn/col49/148724
清广彩织金人物瓣口碟,清宣统,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700123677014.jpg,https://www.gdmuseum.com/cn/col49/148723
清乾隆广彩花卉六棱瓶,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124017563.jpg,https://www.gdmuseum.com/cn/col49/148722
清雍正广彩山水人物菊花口碟,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124051156.jpg,https://www.gdmuseum.com/cn/col49/148721
清道光广彩花卉盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124091592.jpg,https://www.gdmuseum.com/cn/col49/148720
清广彩人物碟,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124145080.jpg,https://www.gdmuseum.com/cn/col49/148719
清广彩花鸟碟,清嘉庆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124180343.jpg,https://www.gdmuseum.com/cn/col49/148718
清光绪广彩山水盘,清末民初（20世纪初）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124212554.jpg,https://www.gdmuseum.com/cn/col49/148717
清广彩人物盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124589840.jpg,https://www.gdmuseum.com/cn/col49/148716
清广彩人物盘,清光绪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124622431.jpg,https://www.gdmuseum.com/cn/col49/148715
清广彩罗汉图盘,清末民初（20世纪初）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124658316.jpg,https://www.gdmuseum.com/cn/col49/148714
清广彩罗汉盘,清末民初（20世纪初）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124700366.jpg,https://www.gdmuseum.com/cn/col49/148713
清广彩双凤牡丹三角茶盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700124778965.jpg,https://www.gdmuseum.com/cn/col49/148712
清广彩描金蚬殻形菊花双鸟盘,清光绪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185576391.jpg,https://www.gdmuseum.com/cn/col49/148711
清广彩人物大盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185636820.jpg,https://www.gdmuseum.com/cn/col49/148710
清嘉庆广彩人物大盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185668050.jpg,https://www.gdmuseum.com/cn/col49/148709
清嘉庆广彩海棠花口椭形大碗,清嘉庆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185701828.jpg,https://www.gdmuseum.com/cn/col49/148708
清光绪广彩人物椭圆形暖窝,清嘉庆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185733316.jpg,https://www.gdmuseum.com/cn/col49/148707
清广彩刻花群鸡大碟,清末（20世纪初）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185764814.jpg,https://www.gdmuseum.com/cn/col49/148706
清道光广彩八方形双耳花插,清光绪,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700185817759.jpg,https://www.gdmuseum.com/cn/col49/148705
清广彩花鸟盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700186167148.jpg,https://www.gdmuseum.com/cn/col49/148704
清咸丰广彩花鸟盘,清咸丰,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700186356403.jpg,https://www.gdmuseum.com/cn/col49/148703
清广彩花鸟尊,清末（20世纪初）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700186945813.jpg,https://www.gdmuseum.com/cn/col49/148702
清乾隆广彩花鸟茶盘,清道光,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700186990992.jpg,https://www.gdmuseum.com/cn/col49/148701
清乾隆广彩大碗,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187074298.jpg,https://www.gdmuseum.com/cn/col49/148700
清雍正广彩折枝花卉纹花口盘,清雍正,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187638160.jpg,https://www.gdmuseum.com/cn/col49/148699
清乾隆广彩徽章纹花口盘,清乾隆,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187700440.jpg,https://www.gdmuseum.com/cn/col49/148698
宋代珠光青瓷,宋代（960-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187758255.jpg,https://www.gdmuseum.com/cn/col49/148697
元黄釉暗花葵口盘,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187896189.jpg,https://www.gdmuseum.com/cn/col49/148696
元青釉暗花葵口碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187937168.jpg,https://www.gdmuseum.com/cn/col49/148695
元青釉暗花葵口瓷盘,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700187971249.jpg,https://www.gdmuseum.com/cn/col49/148694
元青釉暗花葵口碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700188768413.jpg,https://www.gdmuseum.com/cn/col49/148693
元青釉暗花葵口瓷盘,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700188820858.jpg,https://www.gdmuseum.com/cn/col49/148692
元黄釉暗花葵口碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700189438291.jpg,https://www.gdmuseum.com/cn/col49/148691
元黄釉暗花葵口碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190228055.jpg,https://www.gdmuseum.com/cn/col49/148690
元青釉暗花碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190265815.jpg,https://www.gdmuseum.com/cn/col49/148689
元青釉暗花瓷碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190297943.jpg,https://www.gdmuseum.com/cn/col49/148688
元代青花荷叶形小罐盖,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190523064.jpg,https://www.gdmuseum.com/cn/col49/148687
元龙泉窑小罐,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190574992.jpg,https://www.gdmuseum.com/cn/col49/148686
元龙泉窑双耳印花纹罐,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190622351.jpg,https://www.gdmuseum.com/cn/col49/148685
南宋德化窑划花洗,南宋（1127-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700190688087.jpg,https://www.gdmuseum.com/cn/col49/148684
元·圣诏拓,元大德十一年（1307）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700191240818.jpg,https://www.gdmuseum.com/cn/col49/148683
元断碑拓,元代（1271-1368）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700191282578.jpg,https://www.gdmuseum.com/cn/col49/148682
元代八思巴文铁权,元代（1271-1368）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700191900186.jpg,https://www.gdmuseum.com/cn/col49/148681
元铜权、元铜权、元至大元年铜权、元大德二年铜权,元代（1271-1368）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700203256092.jpg,https://www.gdmuseum.com/cn/col49/148680
元至元十五年南雄州路总管府铜印,元至元十五年（1278）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700203336008.jpg,https://www.gdmuseum.com/cn/col49/148679
元大德五年“江陵路学造”菱纹铜洗,元大德五年（1301）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700203374347.jpg,https://www.gdmuseum.com/cn/col49/148678
元梵文铜镜,元代（1271-1368）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700203440531.jpg,https://www.gdmuseum.com/cn/col49/148677
元至正元年素铜镜,元至正元年（1341）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700203476162.jpg,https://www.gdmuseum.com/cn/col49/148676
元“谭州路造”铜权,元代（1271-1368）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205229242.jpg,https://www.gdmuseum.com/cn/col49/148675
元大德元年鱼鳞纹铜簠,元大德元年（1297）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205266440.jpg,https://www.gdmuseum.com/cn/col49/148674
宋吉州窑白地褐彩花卉四足炉,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205306209.jpg,https://www.gdmuseum.com/cn/col49/148673
宋吉州窑剪纸贴花枕,宋代（960-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205351951.jpg,https://www.gdmuseum.com/cn/col49/148672
元龙泉刻花荷叶盖罐,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205417404.jpg,https://www.gdmuseum.com/cn/col49/148671
南宋吉州窑褐釉莲口碗,南宋（1127-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205547377.jpg,https://www.gdmuseum.com/cn/col49/148670
元耀州窑刻花牡丹花陶范,元代（1271-1368）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205608739.jpg,https://www.gdmuseum.com/cn/col49/148669
宋建窑黑釉小碗,宋代（960-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205652406.jpg,https://www.gdmuseum.com/cn/col49/148668
宋影青釉博山形三足薰炉,宋代（960-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700205904972.jpg,https://www.gdmuseum.com/cn/col49/148667
宋影青釉柳条纹钵,南宋（1127-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700206774087.jpg,https://www.gdmuseum.com/cn/col49/148666
金黑釉油滴碗,金朝（1115年－1234年）,,https://www.gdmuseum.com/upload/cn/image/2023-11/1700207541107.jpg,https://www.gdmuseum.com/cn/col49/148665
南宋吉州窑黑釉瓶,南宋（1127-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700207990481.jpg,https://www.gdmuseum.com/cn/col49/148664
元龙泉弦纹撇口瓶,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700208033729.jpg,https://www.gdmuseum.com/cn/col49/148663
南宋吉州窑青白釉刻花月影梅纹印盒,南宋（1127-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700209324225.jpg,https://www.gdmuseum.com/cn/col49/148662
宋影青带托瓣口杯,宋代（960-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700210161103.jpg,https://www.gdmuseum.com/cn/col49/148661
宋影青带托瓣口杯,宋代（960-1279),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700210232485.jpg,https://www.gdmuseum.com/cn/col49/148660
元龙泉莲瓣碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700210291972.jpg,https://www.gdmuseum.com/cn/col49/148659
元清白釉暗花碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700210860104.jpg,https://www.gdmuseum.com/cn/col49/148658
元青白釉暗龙大碗,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700210924343.jpg,https://www.gdmuseum.com/cn/col49/148657
元青白釉双S耳瓜棱瓶,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700210985881.jpg,https://www.gdmuseum.com/cn/col49/148656
元黑釉梅瓶,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700553677471.jpg,https://www.gdmuseum.com/cn/col49/148655
元白釉黑花玉壶春瓶,元代（1271-1368),,https://www.gdmuseum.com/upload/cn/image/2023-11/1700553714866.jpg,https://www.gdmuseum.com/cn/col49/148654
