藏品编号,藏品名字,藏品博物馆,藏品年代,藏品年代简介,藏品作者,藏品类型,藏品介绍,藏品图片地址,藏品地址,藏品材质,藏品来源,藏品收藏等级
5103,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5104,清李世倬钟馗册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5105,清弓箭,辽宁博物馆,清,,,武器,,,,"木,铁",拨交,二级
5106,清吴作樟行书梅花镜序待册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5107,清金櫺山人印存,辽宁博物馆,清,,,其他,,,,纸,征集购买,三级
5108,清木版孔子像立幅,辽宁博物馆,清,,,书法、绘画,,,,纸,拨交,三级
5109,清人信札册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5110,清杨晋顾文渊梅竹合册,辽宁博物馆,清,,,书法、绘画,,,,竹,征集购买,二级
5111,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5112,清查继佐草书七言诗句轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5113,清文殊菩萨铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5114,清无量寿佛像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5115,清释迦牟尼铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5116,清昌化石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5117,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5118,清人仿陈洪绶十八应真图卷,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,三级
5119,清砖塔铭拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,二级
5120,清描金云龙白粉笺联纸,辽宁博物馆,清,,,文具,,,,纸,旧藏,二级
5121,清昌化石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5122,清浮雕梅花白玉三连环,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5123,清花蝶纹白玉耳饰,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5124,清光绪窑变釉贯耳瓷扁方壶,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,二级
5125,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5126,清张洽山水花卉册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5127,清各种约折,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5128,清漆鞘刀,辽宁博物馆,清,,,武器,,,,"其他有机质,其他金属",拨交,二级
5129,清杨沂孙杂书册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5130,清西洋铜版画,辽宁博物馆,清,,,书法、绘画,,,,纸,拨交,二级
5131,清朱昂之草堂读书图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5132,清李鱓花鸟册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5133,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5134,清鎏金铜文殊菩萨像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5135,清鎏金铜无量寿佛像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5136,清阿閦佛铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5137,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5138,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5139,清掐丝珐琅兽面纹方罍,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,二级
5140,清人仿崔悫茶花玉兔图卷,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,三级
5141,清西岳庙乳香记拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,三级
5142,清描金团龙绿腊纸,辽宁博物馆,清,,,文具,,,,纸,旧藏,三级
5143,清龟钮白玉印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5144,清双螭玉偑,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5145,清透雕瓶花白玉坠,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5146,清文从简池边吟句图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,三级
5147,清光绪仿雍正款窑变釉鹿耳瓷尊,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,三级
5148,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5149,清王学浩山水册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5150,清皮鞘腰刀,辽宁博物馆,清,,,武器,,,,"皮革,其他金属",拨交,二级
5151,清蒙泉外史印谱,辽宁博物馆,清,,,古籍图书,,,,纸,征集购买,三级
5152,清何元英行草书五律诗立幅,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,二级
5153,清袁江溪山行旅图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,三级
5154,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,三级
5155,清文殊菩萨铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5156,清白度母佛铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5157,清吉祥天母铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5158,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5159,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,二级
5160,清掐丝珐琅荷塘群鸟五足缸,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,二级
5161,清崇华临安山水画卷,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,二级
5162,清绿筠窝宋四家法帖拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,三级
5163,清丹红洋红冷金笺纸,辽宁博物馆,清,,,文具,,,,纸,旧藏,三级
5164,清雕螭白玉佩,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5165,清透雕花鸟玛瑙坠,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5166,清胡元润松石图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,二级
5167,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5168,清合记支酒背满文一百铅钱,辽宁博物馆,清,,,钱币,,,,其他金属,旧藏,二级
5169,清虎枪,辽宁博物馆,清,,,武器,,,,其他金属,拨交,二级
5170,清拓遁庵秦汉古铜印谱,辽宁博物馆,清,,,古籍图书,,,,纸,征集购买,三级
5171,清刘庆蕃草书七言诗立幅,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,三级
5172,清改琦人物图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,二级
5173,清查士标行书樊川诗,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5174,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5175,清冯湜设色古木寒鸦图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5176,清大白伞盖佛母像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5177,清吉祥天母铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5178,清竹根印,辽宁博物馆,清,,,其他,,,,竹,旧藏,二级
5179,清浮雕象首纹紫檀木大瓶,辽宁博物馆,清,,,竹木雕,,,,木,旧藏,二级
5180,清同治素三彩雕瓷帽筒,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,三级
5181,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5182,清掐丝珐琅兽面纹鼎,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,二级
5183,清描金冰梅玉版粉笺,辽宁博物馆,清,,,文具,,,,纸,旧藏,三级
5184,清青玉印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5185,清透雕蟠螭白玉佩,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5186,清透雕八节白玉扣,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5187,清雕童戏象牙盘,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,拨交,二级
5188,清乾隆双耳雕花铜瓶,辽宁博物馆,清,,,铜器,,,,铜,旧藏,二级
5189,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5190,清顺兴森记铅钱,辽宁博物馆,清,,,钱币,,,,其他金属,旧藏,二级
5191,清佚名济公传残页,辽宁博物馆,清,,,书法、绘画,,,,其他有机质,征集购买,三级
5192,清税票,辽宁博物馆,清,,,票据,,,,纸,征集购买,二级
5193,清黑釉瓷油灯,辽宁博物馆,清,,,瓷器,,,,瓷,拨交,三级
5194,清张尚若章草书千字文册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5195,清秋景庵主（黄易）印谱,辽宁博物馆,清,,,古籍图书,,,,纸,征集购买,三级
5196,清普荷观瀑图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5197,清李觯松萱牡丹图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5198,清王玉燕花卉册,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,三级
5199,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5200,清掐丝珐琅番莲纹瓶,辽宁博物馆,清,,,珐琅器,,,,铜,征集购买,三级
5201,清马元驭水墨群仙祝寿图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5202,清鎏金铜无量寿佛像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5203,清章嘉活佛像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5204,清金刚萨陲菩萨铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5205,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5206,清雍正粉彩花卉纹六方笔筒,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,二级
5207,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5208,清高丽发笺,辽宁博物馆,清,,,文具,,,,纸,旧藏,三级
5209,清浮雕云凤寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5210,清玉环,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5211,清透雕童子花篮白玉饰,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5212,清细刻历史故事画象牙板,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,拨交,二级
5213,清同治五彩攫珠龙纹三足瓷炉,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,三级
5214,清初鎏金铜观音坐像,辽宁博物馆,清,,,雕塑、造像,,,,铜,旧藏,二级
5215,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5216,清池君当十铅钱,辽宁博物馆,清,,,钱币,,,,其他金属,旧藏,二级
5217,清佚名济公传残页,辽宁博物馆,清,,,书法、绘画,,,,其他有机质,征集购买,三级
5218,清龙湾厘金批解,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5219,清刘正宗草书诗册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5220,清种榆仙馆（陈曼生）印谱,辽宁博物馆,清,,,古籍图书,,,,纸,征集购买,三级
5221,清朱伦瀚仙山春晓图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5222,清漆背描金花卉纹铜镜,辽宁博物馆,清,,,铜器,,,,铜,征集购买,二级
5223,清王时敏水墨山水立幅,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5224,清付雯指画山亭赏雪图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,三级
5225,清傅山字册残稿卷,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5226,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5227,清掐丝珐琅番莲纹兽耳瓶,辽宁博物馆,清,,,珐琅器,,,,铜,征集购买,三级
5228,清张崟设色仿王蒙林泉清集图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5229,清鎏金铜绿度母像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5230,清阿閦佛像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5231,清宗喀巴铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5232,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5233,清雕香柏观音骑犼像,辽宁博物馆,清,,,雕塑、造像,,,,木,旧藏,二级
5234,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5235,清掐丝珐琅番莲蕉叶纹起脊方觚,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,二级
5236,清李靖碑拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,三级
5237,清洒金笺,辽宁博物馆,清,,,文具,,,,纸,旧藏,三级
5238,清透雕葡萄寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5239,清白玉戒指,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5240,清透雕童子花篮游环玉坠,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5241,清象牙古装仕女,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,旧藏,二级
5242,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5243,清合记支酒背满文十文铅钱,辽宁博物馆,清,,,钱币,,,,其他金属,旧藏,二级
5244,清邹一桂花卉册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5245,清江西厘税照,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5246,清刘奂楷书送友诗册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5247,清丁敬印谱,辽宁博物馆,清,,,古籍图书,,,,纸,征集购买,二级
5248,清高其佩行书王阳明语录轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5249,清查士标水墨竹石立幅,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5250,清张庚斯干书屋图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5251,清乾隆藏文纸金活页写经,辽宁博物馆,清,,,其他,,,,"木,纸,其他植物质",征集购买,二级
5252,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5253,清姜宸英行书立轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5254,清鎏金铜释迦牟尼像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5255,清鎏金铜绿度母像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5256,清菩萨铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5257,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5258,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5259,清掐丝珐琅瓜瓞葫芦瓶,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,二级
5260,清符秦邓太尉祠碑拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,三级
5261,清朱墨,辽宁博物馆,清,,,文具,,,,其他有机质,拨交,二级
5262,清鸽眼沙寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5263,清雕螭白玉戒指,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5264,清透雕万字白玉饰,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5265,清象牙古装乐女,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,拨交,二级
5266,清仿管希宁调琴啜茗图卷,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,三级
5267,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5268,清平尾赞平创业六十年铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5269,清捐监执照,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5270,清张祖谦临各家书册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5271,清朱伦瀚绿荫幽居图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5272,清俞龄山路醉归图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,二级
5273,清陈继昌行书屏,辽宁博物馆,清,,,书法、绘画,,,,纸,采集,三级
5274,清李世倬山水册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5275,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,三级
5276,清珐琅彩花卉陶盘,辽宁博物馆,清,,,珐琅器,,,,铜,征集购买,三级
5277,清王弘撰草书轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5278,清弥勒菩萨铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5279,清十一面观音像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5280,清无量寿佛铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5281,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,二级
5282,清雕木达摩像,辽宁博物馆,清,,,雕塑、造像,,,,木,旧藏,二级
5283,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5284,清汉楮君碑阴拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,一般
5285,清百雀图圆墨,辽宁博物馆,清,,,文具,,,,其他有机质,拨交,二级
5286,清浮雕山水寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5287,清白玉戒指,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5288,清白玉鹤衔灵芝,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5289,清象牙古装女子,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,旧藏,二级
5290,清徐枢仿王蒙山水图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,二级
5291,清阴刻云纹青玉璧,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,接受捐赠,二级
5292,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5293,清生肖文铜花钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5294,清合议书,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5295,清梁巘楷书临多宝塔册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5296,清试卷,辽宁博物馆,清,,,其他,,,,纸,征集购买,三级
5297,清高简倚仗观梅图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5298,清田黄印材,辽宁博物馆,清,,,玺印符牌,,,,石,征集购买,二级
5299,清人山水鸟兽画册,辽宁博物馆,清,,,书法、绘画,,,,纸,接受捐赠,二级
5300,清何凌汉行书屏,辽宁博物馆,清,,,书法、绘画,,,,纸,采集,二级
5301,清李鱓梅花轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5302,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5303,清掐丝珐琅花蝶碗,辽宁博物馆,清,,,珐琅器,,,,铜,征集购买,三级
5304,清金元设色孔雀菊花图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5305,清鎏金铜弥勒菩萨像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5306,清释迦牟尼佛像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,二级
5307,清尊胜佛母铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5308,清青田石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,旧藏,三级
5309,清雕竹寿星像,辽宁博物馆,清,,,雕塑、造像,,,,竹,旧藏,二级
5310,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5311,清掐丝珐琅缠枝番莲纹大碗,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,三级
5312,清人仿高克恭水墨山水图卷,辽宁博物馆,清,,,书法、绘画,,,,丝,旧藏,三级
5313,清汉卫尉卿卫方碑拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,一般
5314,清宜吟馆墨,辽宁博物馆,清,,,文具,,,,其他有机质,拨交,二级
5315,清浮雕山水寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5316,清绳纹玉环,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5317,清透雕龙凤白玉饰,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5318,清象牙镯,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,拨交,二级
5319,清巧琢莲花白玉坠,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,接受捐赠,二级
5320,清嘉庆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5321,清乾隆通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,二级
5322,清生肖文铜花钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5323,清任颐花卉轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5324,清状子,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5325,清济斌临圣教序册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5326,清省友书牍汇存,辽宁博物馆,清,,,古籍图书,,,,纸,征集购买,三级
5327,清李士倬双马图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5328,清田白印材,辽宁博物馆,清,,,玺印符牌,,,,石,征集购买,三级
5329,清李鸿章行书屏,辽宁博物馆,清,,,书法、绘画,,,,纸,采集,二级
5330,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,二级
5331,清鎏金铜带钩,辽宁博物馆,清,,,铜器,,,,"铜,金",征集购买,二级
5332,清黄鼎水墨桐花书屋扇面图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5333,清鎏金铜弥勒菩萨立像,辽宁博物馆,清,,,雕塑、造像,,,,"铜,金",拣选,三级
5334,清释迦牟尼佛像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5335,清八臂文殊铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5336,清康熙五彩开光牡丹纹花觚,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,三级
5337,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5338,清掐丝珐琅番莲纹帽架,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,三级
5339,清人仿文伯仁荆关山水图卷,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,三级
5340,清嘉庆墨,辽宁博物馆,清,,,文具,,,,其他有机质,拨交,二级
5341,清浮雕竹枝黄寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5342,清白玉游尾金鱼,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5343,清透雕龙凤白玉饰,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5344,清浮雕人物花鸟象牙插屏心,辽宁博物馆,清,,,牙骨角器,,,,骨角牙,旧藏,二级
5345,清仿程正揆山水图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,旧藏,三级
5346,清青花花卉寿字纹瓷花觚,辽宁博物馆,清,,,瓷器,,,,瓷,旧藏,三级
5347,清“护封”铜印,辽宁博物馆,清,,,玺印符牌,,,,铜,旧藏,三级
5348,清兽钮青玉印,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,接受捐赠,三级
5349,清道光通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5350,清万上遴山水轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5351,清催缴息银县谕,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5352,清袁世凯、陈昭常、宋小濂公私信札,辽宁博物馆,清,,,名人遗物,,,,纸,征集购买,三级
5353,清丁以诚夕阳垂钓图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5354,清高其佩指画钟馗降魔图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,二级
5355,清螭钮黄寿山石印材,辽宁博物馆,清,,,玺印符牌,,,,石,征集购买,二级
5356,清人茅亭闲画图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,接受捐赠,三级
5357,清玛瑙鼻烟壶,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,征集购买,三级
5358,清鎏金铜带钩,辽宁博物馆,清,,,铜器,,,,"铜,宝玉石,金",征集购买,二级
5359,清藏嘉仿李成山水图轴,辽宁博物馆,清,,,书法、绘画,,,,丝,征集购买,三级
5360,清释迦牟尼佛像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5361,清天王铜像,辽宁博物馆,清,,,雕塑、造像,,,,铜,拣选,三级
5362,清浮雕人物竹笔筒,辽宁博物馆,清,,,文具,,,,竹,旧藏,二级
5363,清顺治通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5364,清画珐琅狮首璎珞纹塔,辽宁博物馆,清,,,珐琅器,,,,铜,旧藏,二级
5365,清人仿仇英上林图卷,辽宁博物馆,清,,,书法、绘画,,,,丝,旧藏,二级
5366,清魏刁遵墓志拓本册页,辽宁博物馆,清,,,碑帖拓本,,,,纸,拨交,一般
5367,清青琅玕墨,辽宁博物馆,清,,,文具,,,,其他有机质,拨交,三级
5368,清浮雕山水黄寿山石印,辽宁博物馆,清,,,玺印符牌,,,,宝玉石,拨交,二级
5369,清白玉燕,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,二级
5370,清提梁花篮玉坠,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,拨交,三级
5371,清“韩强”铜印,辽宁博物馆,清,,,玺印符牌,,,,铜,旧藏,三级
5372,清透雕葫芦蝙蝠翡翠坠,辽宁博物馆,清,,,玉石器、宝石,,,,宝玉石,接受捐赠,二级
5373,清道光通宝铜钱,辽宁博物馆,清,,,钱币,,,,铜,旧藏,三级
5374,清张度钟馗轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,二级
5375,清私人帐薄,辽宁博物馆,清,,,档案文书,,,,纸,征集购买,二级
5376,清汪士鋐楷书临玄秘塔册,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5377,清陈馥萱猫图轴,辽宁博物馆,清,,,书法、绘画,,,,纸,征集购买,三级
5378,清狮钮白寿山石印材,辽宁博物馆,清,,,玺印符牌,,,,石,征集购买,三级
